id_no,reviewer,review_url,package,onboarding_url,review_hours
87,Brooke Anderson,https://github.com/ropensci/onboarding/issues/94#issuecomment-284578088,charlatan,https://github.com/ropensci/onboarding/issues/94,4.0
89,Claudia Vitolo ,https://github.com/ropensci/onboarding/issues/99#issuecomment-285906930,cmipr,https://github.com/ropensci/onboarding/issues/99,4.0
90,Ben Bond-Lamberty,https://github.com/ropensci/onboarding/issues/99#issuecomment-286058530,cmipr,https://github.com/ropensci/onboarding/issues/99,2.0
91,Frans van Dunné,https://github.com/ropensci/onboarding/issues/98#issuecomment-287891269,rBBS,https://github.com/ropensci/onboarding/issues/98,3.0
92,Gaurav Sood,https://github.com/ropensci/onboarding/issues/98#issuecomment-291569619,rBBS,https://github.com/ropensci/onboarding/issues/98,3.0
93,Edzer Pebesma,https://github.com/ropensci/onboarding/issues/103#issuecomment-292992221,osmdata,https://github.com/ropensci/onboarding/issues/103,7.0
96,Carl Ganz,https://github.com/ropensci/onboarding/issues/107#issuecomment-292250684,iheatmapr,https://github.com/ropensci/onboarding/issues/107,3.0
97,Andee Kaplan,https://github.com/ropensci/onboarding/issues/107#issuecomment-295913565,iheatmapr,https://github.com/ropensci/onboarding/issues/107,3.0
98,W Kyle Hamilton,,ccex,https://github.com/ropensci/onboarding/issues/109,
99,Taylor Arnold,,ccex,https://github.com/ropensci/onboarding/issues/109,
102,Andrew MacDonald,https://github.com/ropensci/onboarding/issues/102#issuecomment-300349152,cleanEHR,https://github.com/ropensci/onboarding/issues/102,
103,Hao Zhu,https://github.com/ropensci/onboarding/issues/102#issuecomment-300016214,cleanEHR,https://github.com/ropensci/onboarding/issues/102,4.0
104,Verena Haunschmid,https://github.com/ropensci/onboarding/issues/112#issuecomment-303023248,patentsview,https://github.com/ropensci/onboarding/issues/112,6.0
105,Paul Oldham,https://github.com/ropensci/onboarding/issues/112#issuecomment-305554522,patentsview,https://github.com/ropensci/onboarding/issues/112,6.0
106,Jenny Bryan,https://github.com/ropensci/onboarding/issues/113#issuecomment-314315200,gitlabr,https://github.com/ropensci/onboarding/issues/113,6.0
107,Robert Flight,https://github.com/ropensci/onboarding/issues/113#issuecomment-305827917,gitlabr,https://github.com/ropensci/onboarding/issues/113,7.0
108,Ross Mounce,https://github.com/ropensci/onboarding/issues/115#issuecomment-308699222,roadoi,https://github.com/ropensci/onboarding/issues/115,4.0
109,Tuija Sonkkila,https://github.com/ropensci/onboarding/issues/115#issuecomment-305503360,roadoi,https://github.com/ropensci/onboarding/issues/115,5.0
110,Bob Rudis,,cyphr,https://github.com/ropensci/onboarding/issues/114,
111,Stephanie Locke,,cyphr,https://github.com/ropensci/onboarding/issues/114,
112,Elaine McVey,,bikedata,https://github.com/ropensci/onboarding/issues/116,
113,Bea Hernandez,https://github.com/ropensci/onboarding/issues/116#issuecomment-309265604,bikedata,https://github.com/ropensci/onboarding/issues/116,4.0
114,Adam Sparks,https://github.com/ropensci/onboarding/issues/124#issuecomment-308617830,bib2df,https://github.com/ropensci/onboarding/issues/124,3.5
115,Vasant Marur,,bib2df,https://github.com/ropensci/onboarding/issues/124,
117,Joseph Stachelek,https://github.com/ropensci/onboarding/issues/118#issuecomment-310503322,rrricanes,https://github.com/ropensci/onboarding/issues/118,2.5
118,Emily Robinson,https://github.com/ropensci/onboarding/issues/118#issuecomment-314262768,rrricanes,https://github.com/ropensci/onboarding/issues/118,4.0
119,Carl Boettiger,https://github.com/ropensci/onboarding/issues/119#issuecomment-311459131,RefManageR,https://github.com/ropensci/onboarding/issues/119,3.0
120,Amelia McNamara,,RefManageR,https://github.com/ropensci/onboarding/issues/119,
121,Taylor Arnold,https://github.com/ropensci/onboarding/issues/120#issuecomment-309288846,bittrex,https://github.com/ropensci/onboarding/issues/120,2.5
122,Noam Ross,https://github.com/ropensci/onboarding/issues/120#issuecomment-310855776,bittrex,https://github.com/ropensci/onboarding/issues/120,2.5
123,Brooke Anderson,,bomrang,https://github.com/ropensci/onboarding/issues/121,
124,mark padgham,https://github.com/ropensci/onboarding/issues/121#issuecomment-310839849,bomrang,https://github.com/ropensci/onboarding/issues/121,6.0
125,Lucy D'Agostino McGowan,https://github.com/ropensci/onboarding/issues/126#issuecomment-312515336,rtimicropem,https://github.com/ropensci/onboarding/issues/126,2.5
126,Kara Woo,https://github.com/ropensci/onboarding/issues/126#issuecomment-312776417,rtimicropem,https://github.com/ropensci/onboarding/issues/126,2.0
127,Julia Gustavsen,,googleLanguageR,https://github.com/ropensci/onboarding/issues/127,
128,Neal Richardson,,googleLanguageR,https://github.com/ropensci/onboarding/issues/127,
